#Nchannels
48
#	FADC	KL 
#crate	board	channel	cell	pmt	pmtNum	pmtName 
0	12	0	0	0	0	kln0
0	12	1	0	1	1	kls0
0	12	2	1	0	2	kln1
0	12	3	1	1	3	kls1
0	12	4	2	0	4	kln2
0	12	5	2	1	5	kls2
0	12	6	3	0	6	kln3
0	12	7	3	1	7	kls3
0	13	0	4	0	8	kln4
0	13	1	4	1	9	kls4
0	13	2	5	0	10	kln5
0	13	3	5	1	11	kls5
0	13	4	6	0	12	kln6
0	13	5	6	1	13	kls6
0	13	6	7	0	14	kln7
0	13	7	7	1	15	kls7
0	14	0	8	0	16	kln8
0	14	1	8	1	17	kls8
0	14	2	9	0	18	kln9
0	14	3	9	1	19	kls9
0	14	4	10	0	20	kln10
0	14	5	10	1	21	kls10
0	14	6	11	0	22	kln11
0	14	7	11	1	23	kls11
0	15	0	12	0	24	kln12
0	15	1	12	1	25	kls12
0	15	2	13	0	26	kln13
0	15	3	13	1	27	kls13
0	15	4	14	0	28	kln14
0	15	5	14	1	29	kls14
0	15	6	15	0	30	kln15
0	15	7	15	1	31	kls15
0	16	0	16	0	32	kln16
0	16	1	16	1	33	kls16
0	16	2	17	0	34	kln17
0	16	3	17	1	35	kls17
0	16	4	18	0	36	kln18
0	16	5	18	1	37	kls18
0	16	6	19	0	38	kln19
0	16	7	19	1	39	kls19
0	17	0	20	0	40	kln20
0	17	1	20	1	41	kls20
0	17	4	-1	0	42	tagnt
0	17	5	-1	1	43	tagnb
0	17	2	-2	0	44	tagct
0	17	3	-2	1	45	tagcb
0	17	6	-3	0	46	tagst
0	17	7	-3	1	47	tagsb
